condition,label,role,prenatal_reduction,true_trend_log_per_year,reason,source
ca_hypo,Hypospadias,control,none,0.0,Male-only and not prenatally diagnosable; there is no detection-and-termination channel at all. The strongest available control.,curation
ca_clpal,Cleft palate alone,control,none,0.0,Poorly detectable on routine prenatal ultrasound because the secondary palate is obscured; termination for isolated cleft palate is essentially unrecorded in the US.,curation
ca_cleft,Cleft lip with or without cleft palate,control,none,0.0,Detectable prenatally from the second trimester but isolated cleft lip is essentially never terminated in the US.,curation
ca_limb,Limb reduction defect,control,none,0.0,Detectable prenatally; termination is rare and confined to severe multi-limb cases.,curation
ca_gast,Gastroschisis,excluded,none,0.0,Has no material reduction channel and would otherwise qualify as a control. Excluded because its true US birth prevalence is genuinely falling after a long rise: its composition-adjusted recorded rate falls 26.0% over 2016-2018 to 2022-2024. Attributing that to recording would be wrong.,curation
ca_cchd,Cyanotic congenital heart disease,excluded,partial,0.0,Ascertainment changed independently of the shared item: universal newborn pulse-oximetry screening was phased in across the states over 2011-2018. Its composition-adjusted recorded rate rose 14.5% over 2016-2018 to 2022-2024 while every control fell. Retained as a named negative control rather than dropped silently.,curation
ca_anen,Anencephaly,excluded,substantial,0.0,Near-universal termination after prenatal detection makes the recorded rate a reduction signal rather than a recording signal.,curation
ca_mnsb,Meningomyelocele / spina bifida,excluded,substantial,0.0,Substantial termination after prenatal detection.,curation
ca_cdh,Congenital diaphragmatic hernia,excluded,partial,0.0,Reliably detected prenatally with some termination; the recorded rate mixes both channels.,curation
ca_omph,Omphalocele,excluded,substantial,0.0,Frequently associated with a chromosomal abnormality and so shares the Down syndrome detection-and-termination channel directly.,curation
ca_disor,Suspected chromosomal disorder other than Down syndrome,excluded,substantial,0.0,Shares the Down syndrome prenatal-detection and termination channel directly and responds to the same NIPT rollout; it is a co-outcome rather than a control. Not populated in the current extract in any case.,curation
