state,race6,hisp,state_code,race6_code,hisp_code,births,births_status,ds_cp,ds_cp_status
Alabama,American Indian or Alaska Native,Hispanic or Latino,01,1002-5,2135-2,414,observed,0,zero
Alabama,American Indian or Alaska Native,Not Hispanic or Latino,01,1002-5,2186-5,1230,observed,0,zero
Alabama,American Indian or Alaska Native,Unknown or Not Stated,01,1002-5,9,Suppressed,suppressed,0,zero
Alabama,Asian,Hispanic or Latino,01,A,2135-2,416,observed,Suppressed,suppressed
Alabama,Asian,Not Hispanic or Latino,01,A,2186-5,7970,observed,Suppressed,suppressed
Alabama,Asian,Unknown or Not Stated,01,A,9,Suppressed,suppressed,0,zero
Alabama,Black or African American,Hispanic or Latino,01,2054-5,2135-2,2624,observed,Suppressed,suppressed
Alabama,Black or African American,Not Hispanic or Latino,01,2054-5,2186-5,152025,observed,47,observed
Alabama,Black or African American,Unknown or Not Stated,01,2054-5,9,33,observed,0,zero
Alabama,More than one race,Hispanic or Latino,01,M,2135-2,568,observed,Suppressed,suppressed
Alabama,More than one race,Not Hispanic or Latino,01,M,2186-5,9088,observed,Suppressed,suppressed
Alabama,More than one race,Unknown or Not Stated,01,M,9,Suppressed,suppressed,0,zero
Alabama,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,NHOPI,2135-2,515,observed,0,zero
Alabama,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,NHOPI,2186-5,449,observed,Suppressed,suppressed
Alabama,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,01,NHOPI,9,Suppressed,suppressed,0,zero
Alabama,Not Available,Hispanic or Latino,01,NA,2135-2,0,zero,0,zero
Alabama,Not Available,Not Hispanic or Latino,01,NA,2186-5,0,zero,0,zero
Alabama,Not Available,Unknown or Not Stated,01,NA,9,0,zero,0,zero
Alabama,Not Reported,Hispanic or Latino,01,NR,2135-2,0,zero,0,zero
Alabama,Not Reported,Not Hispanic or Latino,01,NR,2186-5,0,zero,0,zero
Alabama,Not Reported,Unknown or Not Stated,01,NR,9,0,zero,0,zero
Alabama,Unknown or Not Stated,Hispanic or Latino,01,UNK,2135-2,0,zero,0,zero
Alabama,Unknown or Not Stated,Not Hispanic or Latino,01,UNK,2186-5,0,zero,0,zero
Alabama,Unknown or Not Stated,Unknown or Not Stated,01,UNK,9,0,zero,0,zero
Alabama,White,Hispanic or Latino,01,2106-3,2135-2,45605,observed,42,observed
Alabama,White,Not Hispanic or Latino,01,2106-3,2186-5,303061,observed,149,observed
Alabama,White,Unknown or Not Stated,01,2106-3,9,100,observed,0,zero
Alaska,American Indian or Alaska Native,Hispanic or Latino,02,1002-5,2135-2,490,observed,0,zero
Alaska,American Indian or Alaska Native,Not Hispanic or Latino,02,1002-5,2186-5,16262,observed,10,observed
Alaska,American Indian or Alaska Native,Unknown or Not Stated,02,1002-5,9,275,observed,0,zero
Alaska,Asian,Hispanic or Latino,02,A,2135-2,179,observed,0,zero
Alaska,Asian,Not Hispanic or Latino,02,A,2186-5,5146,observed,10,observed
Alaska,Asian,Unknown or Not Stated,02,A,9,118,observed,Suppressed,suppressed
Alaska,Black or African American,Hispanic or Latino,02,2054-5,2135-2,439,observed,Suppressed,suppressed
Alaska,Black or African American,Not Hispanic or Latino,02,2054-5,2186-5,2411,observed,Suppressed,suppressed
Alaska,Black or African American,Unknown or Not Stated,02,2054-5,9,48,observed,0,zero
Alaska,More than one race,Hispanic or Latino,02,M,2135-2,703,observed,Suppressed,suppressed
Alaska,More than one race,Not Hispanic or Latino,02,M,2186-5,8626,observed,Suppressed,suppressed
Alaska,More than one race,Unknown or Not Stated,02,M,9,138,observed,0,zero
