state,year,state_code,year_code,births,births_status,ds_cp,ds_cp_status
Alabama,2016,01,2016,59151,observed,23,observed
Alabama,2017,01,2017,58941,observed,28,observed
Alabama,2018,01,2018,57761,observed,28,observed
Alabama,2019,01,2019,58615,observed,34,observed
Alabama,2020,01,2020,57647,observed,28,observed
Alabama,2021,01,2021,58054,observed,26,observed
Alabama,2022,01,2022,58149,observed,27,observed
Alabama,2023,01,2023,57858,observed,29,observed
Alabama,2024,01,2024,57934,observed,25,observed
Alaska,2016,02,2016,11209,observed,14,observed
Alaska,2017,02,2017,10445,observed,12,observed
Alaska,2018,02,2018,10086,observed,13,observed
Alaska,2019,02,2019,9822,observed,11,observed
Alaska,2020,02,2020,9469,observed,Suppressed,suppressed
Alaska,2021,02,2021,9367,observed,Suppressed,suppressed
Alaska,2022,02,2022,9359,observed,Suppressed,suppressed
Alaska,2023,02,2023,9015,observed,17,observed
Alaska,2024,02,2024,8943,observed,Suppressed,suppressed
Arizona,2016,04,2016,84520,observed,50,observed
Arizona,2017,04,2017,81872,observed,48,observed
Arizona,2018,04,2018,80723,observed,35,observed
Arizona,2019,04,2019,79375,observed,57,observed
Arizona,2020,04,2020,76947,observed,45,observed
Arizona,2021,04,2021,77916,observed,60,observed
Arizona,2022,04,2022,78547,observed,59,observed
Arizona,2023,04,2023,78096,observed,49,observed
Arizona,2024,04,2024,78711,observed,50,observed
Arkansas,2016,05,2016,38274,observed,21,observed
Arkansas,2017,05,2017,37520,observed,14,observed
Arkansas,2018,05,2018,37018,observed,11,observed
Arkansas,2019,05,2019,36564,observed,16,observed
Arkansas,2020,05,2020,35251,observed,Suppressed,suppressed
Arkansas,2021,05,2021,35965,observed,10,observed
Arkansas,2022,05,2022,35471,observed,16,observed
Arkansas,2023,05,2023,35264,observed,15,observed
Arkansas,2024,05,2024,35395,observed,28,observed
California,2016,06,2016,488827,observed,163,observed
California,2017,06,2017,471658,observed,152,observed
California,2018,06,2018,454920,observed,166,observed
California,2019,06,2019,446479,observed,181,observed
California,2020,06,2020,420259,observed,157,observed
California,2021,06,2021,420608,observed,164,observed
California,2022,06,2022,419104,observed,139,observed
California,2023,06,2023,400108,observed,163,observed
California,2024,06,2024,402075,observed,144,observed
Colorado,2016,08,2016,66613,observed,61,observed
Colorado,2017,08,2017,64382,observed,50,observed
Colorado,2018,08,2018,62885,observed,51,observed
Colorado,2019,08,2019,62869,observed,60,observed
Colorado,2020,08,2020,61494,observed,54,observed
Colorado,2021,08,2021,62949,observed,46,observed
Colorado,2022,08,2022,62383,observed,43,observed
Colorado,2023,08,2023,61494,observed,47,observed
Colorado,2024,08,2024,64268,observed,47,observed
Connecticut,2016,09,2016,36015,observed,18,observed
Connecticut,2017,09,2017,35221,observed,15,observed
Connecticut,2018,09,2018,34725,observed,17,observed
Connecticut,2019,09,2019,34258,observed,12,observed
Connecticut,2020,09,2020,33460,observed,18,observed
Connecticut,2021,09,2021,35670,observed,15,observed
Connecticut,2022,09,2022,35332,observed,24,observed
Connecticut,2023,09,2023,34559,observed,14,observed
Connecticut,2024,09,2024,34599,observed,21,observed
Delaware,2016,10,2016,10992,observed,Suppressed,suppressed
Delaware,2017,10,2017,10855,observed,18,observed
Delaware,2018,10,2018,10621,observed,15,observed
Delaware,2019,10,2019,10562,observed,Suppressed,suppressed
Delaware,2020,10,2020,10392,observed,Suppressed,suppressed
Delaware,2021,10,2021,10482,observed,Suppressed,suppressed
Delaware,2022,10,2022,10816,observed,Suppressed,suppressed
Delaware,2023,10,2023,10427,observed,Suppressed,suppressed
Delaware,2024,10,2024,10550,observed,Suppressed,suppressed
District of Columbia,2016,11,2016,9858,observed,Suppressed,suppressed
District of Columbia,2017,11,2017,9560,observed,Suppressed,suppressed
District of Columbia,2018,11,2018,9212,observed,Suppressed,suppressed
District of Columbia,2019,11,2019,9079,observed,Suppressed,suppressed
District of Columbia,2020,11,2020,8874,observed,Suppressed,suppressed
District of Columbia,2021,11,2021,8660,observed,Suppressed,suppressed
