state,year,race6,state_code,year_code,race6_code,births,births_status,ds_cp,ds_cp_status
Alabama,2016,American Indian or Alaska Native,01,2016,1002-5,133,observed,0,zero
Alabama,2016,Asian,01,2016,A,1041,observed,0,zero
Alabama,2016,Black or African American,01,2016,2054-5,18181,observed,Suppressed,suppressed
Alabama,2016,More than one race,01,2016,M,875,observed,0,zero
Alabama,2016,Native Hawaiian or Other Pacific Islander,01,2016,NHOPI,143,observed,0,zero
Alabama,2016,White,01,2016,2106-3,38778,observed,20,observed
Alabama,2017,American Indian or Alaska Native,01,2017,1002-5,150,observed,0,zero
Alabama,2017,Asian,01,2017,A,1005,observed,Suppressed,suppressed
Alabama,2017,Black or African American,01,2017,2054-5,18467,observed,Suppressed,suppressed
Alabama,2017,More than one race,01,2017,M,958,observed,0,zero
Alabama,2017,Native Hawaiian or Other Pacific Islander,01,2017,NHOPI,76,observed,0,zero
Alabama,2017,White,01,2017,2106-3,38285,observed,18,observed
Alabama,2018,American Indian or Alaska Native,01,2018,1002-5,175,observed,0,zero
Alabama,2018,Asian,01,2018,A,946,observed,Suppressed,suppressed
Alabama,2018,Black or African American,01,2018,2054-5,17738,observed,Suppressed,suppressed
Alabama,2018,More than one race,01,2018,M,915,observed,Suppressed,suppressed
Alabama,2018,Native Hawaiian or Other Pacific Islander,01,2018,NHOPI,122,observed,0,zero
Alabama,2018,White,01,2018,2106-3,37865,observed,20,observed
Alabama,2019,American Indian or Alaska Native,01,2019,1002-5,189,observed,0,zero
Alabama,2019,Asian,01,2019,A,930,observed,0,zero
Alabama,2019,Black or African American,01,2019,2054-5,18401,observed,Suppressed,suppressed
Alabama,2019,More than one race,01,2019,M,1087,observed,0,zero
Alabama,2019,Native Hawaiian or Other Pacific Islander,01,2019,NHOPI,76,observed,0,zero
Alabama,2019,White,01,2019,2106-3,37932,observed,28,observed
Alabama,2020,American Indian or Alaska Native,01,2020,1002-5,185,observed,0,zero
Alabama,2020,Asian,01,2020,A,899,observed,0,zero
Alabama,2020,Black or African American,01,2020,2054-5,18016,observed,Suppressed,suppressed
Alabama,2020,More than one race,01,2020,M,1033,observed,0,zero
Alabama,2020,Native Hawaiian or Other Pacific Islander,01,2020,NHOPI,93,observed,0,zero
Alabama,2020,White,01,2020,2106-3,37421,observed,22,observed
Alabama,2021,American Indian or Alaska Native,01,2021,1002-5,214,observed,0,zero
Alabama,2021,Asian,01,2021,A,892,observed,0,zero
Alabama,2021,Black or African American,01,2021,2054-5,16793,observed,Suppressed,suppressed
Alabama,2021,More than one race,01,2021,M,1127,observed,Suppressed,suppressed
Alabama,2021,Native Hawaiian or Other Pacific Islander,01,2021,NHOPI,94,observed,0,zero
Alabama,2021,White,01,2021,2106-3,38934,observed,21,observed
Alabama,2022,American Indian or Alaska Native,01,2022,1002-5,170,observed,0,zero
Alabama,2022,Asian,01,2022,A,824,observed,Suppressed,suppressed
Alabama,2022,Black or African American,01,2022,2054-5,16390,observed,Suppressed,suppressed
Alabama,2022,More than one race,01,2022,M,1213,observed,0,zero
Alabama,2022,Native Hawaiian or Other Pacific Islander,01,2022,NHOPI,106,observed,Suppressed,suppressed
Alabama,2022,White,01,2022,2106-3,39446,observed,21,observed
Alabama,2023,American Indian or Alaska Native,01,2023,1002-5,194,observed,0,zero
Alabama,2023,Asian,01,2023,A,870,observed,Suppressed,suppressed
Alabama,2023,Black or African American,01,2023,2054-5,15764,observed,Suppressed,suppressed
Alabama,2023,More than one race,01,2023,M,1228,observed,0,zero
Alabama,2023,Native Hawaiian or Other Pacific Islander,01,2023,NHOPI,112,observed,0,zero
Alabama,2023,White,01,2023,2106-3,39690,observed,23,observed
Alabama,2024,American Indian or Alaska Native,01,2024,1002-5,235,observed,0,zero
Alabama,2024,Asian,01,2024,A,984,observed,Suppressed,suppressed
Alabama,2024,Black or African American,01,2024,2054-5,14932,observed,Suppressed,suppressed
Alabama,2024,More than one race,01,2024,M,1224,observed,0,zero
Alabama,2024,Native Hawaiian or Other Pacific Islander,01,2024,NHOPI,144,observed,0,zero
Alabama,2024,White,01,2024,2106-3,40415,observed,18,observed
Alaska,2016,American Indian or Alaska Native,02,2016,1002-5,2195,observed,Suppressed,suppressed
Alaska,2016,Asian,02,2016,A,729,observed,Suppressed,suppressed
Alaska,2016,Black or African American,02,2016,2054-5,356,observed,0,zero
Alaska,2016,More than one race,02,2016,M,1164,observed,0,zero
Alaska,2016,Native Hawaiian or Other Pacific Islander,02,2016,NHOPI,298,observed,0,zero
Alaska,2016,White,02,2016,2106-3,6467,observed,Suppressed,suppressed
Alaska,2017,American Indian or Alaska Native,02,2017,1002-5,1985,observed,0,zero
Alaska,2017,Asian,02,2017,A,720,observed,Suppressed,suppressed
