state,year,race6,hisp,state_code,year_code,race6_code,hisp_code,births,births_status,ds_cp,ds_cp_status
Alabama,2016,American Indian or Alaska Native,Hispanic or Latino,01,2016,1002-5,2135-2,18,observed,0,zero
Alabama,2016,American Indian or Alaska Native,Not Hispanic or Latino,01,2016,1002-5,2186-5,115,observed,0,zero
Alabama,2016,Asian,Hispanic or Latino,01,2016,A,2135-2,55,observed,0,zero
Alabama,2016,Asian,Not Hispanic or Latino,01,2016,A,2186-5,986,observed,0,zero
Alabama,2016,Black or African American,Hispanic or Latino,01,2016,2054-5,2135-2,481,observed,0,zero
Alabama,2016,Black or African American,Not Hispanic or Latino,01,2016,2054-5,2186-5,17695,observed,Suppressed,suppressed
Alabama,2016,Black or African American,Unknown or Not Stated,01,2016,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2016,More than one race,Hispanic or Latino,01,2016,M,2135-2,49,observed,0,zero
Alabama,2016,More than one race,Not Hispanic or Latino,01,2016,M,2186-5,825,observed,0,zero
Alabama,2016,More than one race,Unknown or Not Stated,01,2016,M,9,Suppressed,suppressed,0,zero
Alabama,2016,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2016,NHOPI,2135-2,108,observed,0,zero
Alabama,2016,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2016,NHOPI,2186-5,35,observed,0,zero
Alabama,2016,White,Hispanic or Latino,01,2016,2106-3,2135-2,3869,observed,Suppressed,suppressed
Alabama,2016,White,Not Hispanic or Latino,01,2016,2106-3,2186-5,34899,observed,14,observed
Alabama,2016,White,Unknown or Not Stated,01,2016,2106-3,9,10,observed,0,zero
Alabama,2017,American Indian or Alaska Native,Hispanic or Latino,01,2017,1002-5,2135-2,19,observed,0,zero
Alabama,2017,American Indian or Alaska Native,Not Hispanic or Latino,01,2017,1002-5,2186-5,131,observed,0,zero
Alabama,2017,Asian,Hispanic or Latino,01,2017,A,2135-2,55,observed,Suppressed,suppressed
Alabama,2017,Asian,Not Hispanic or Latino,01,2017,A,2186-5,950,observed,0,zero
Alabama,2017,Black or African American,Hispanic or Latino,01,2017,2054-5,2135-2,500,observed,Suppressed,suppressed
Alabama,2017,Black or African American,Not Hispanic or Latino,01,2017,2054-5,2186-5,17963,observed,Suppressed,suppressed
Alabama,2017,Black or African American,Unknown or Not Stated,01,2017,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2017,More than one race,Hispanic or Latino,01,2017,M,2135-2,52,observed,0,zero
Alabama,2017,More than one race,Not Hispanic or Latino,01,2017,M,2186-5,906,observed,0,zero
Alabama,2017,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2017,NHOPI,2135-2,32,observed,0,zero
Alabama,2017,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2017,NHOPI,2186-5,44,observed,0,zero
Alabama,2017,White,Hispanic or Latino,01,2017,2106-3,2135-2,3888,observed,Suppressed,suppressed
Alabama,2017,White,Not Hispanic or Latino,01,2017,2106-3,2186-5,34377,observed,13,observed
Alabama,2017,White,Unknown or Not Stated,01,2017,2106-3,9,20,observed,0,zero
Alabama,2018,American Indian or Alaska Native,Hispanic or Latino,01,2018,1002-5,2135-2,26,observed,0,zero
Alabama,2018,American Indian or Alaska Native,Not Hispanic or Latino,01,2018,1002-5,2186-5,148,observed,0,zero
Alabama,2018,American Indian or Alaska Native,Unknown or Not Stated,01,2018,1002-5,9,Suppressed,suppressed,0,zero
Alabama,2018,Asian,Hispanic or Latino,01,2018,A,2135-2,43,observed,0,zero
Alabama,2018,Asian,Not Hispanic or Latino,01,2018,A,2186-5,903,observed,Suppressed,suppressed
Alabama,2018,Black or African American,Hispanic or Latino,01,2018,2054-5,2135-2,138,observed,0,zero
Alabama,2018,Black or African American,Not Hispanic or Latino,01,2018,2054-5,2186-5,17597,observed,Suppressed,suppressed
Alabama,2018,Black or African American,Unknown or Not Stated,01,2018,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2018,More than one race,Hispanic or Latino,01,2018,M,2135-2,51,observed,Suppressed,suppressed
Alabama,2018,More than one race,Not Hispanic or Latino,01,2018,M,2186-5,864,observed,0,zero
Alabama,2018,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2018,NHOPI,2135-2,74,observed,0,zero
Alabama,2018,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2018,NHOPI,2186-5,46,observed,0,zero
Alabama,2018,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,01,2018,NHOPI,9,Suppressed,suppressed,0,zero
Alabama,2018,White,Hispanic or Latino,01,2018,2106-3,2135-2,4071,observed,Suppressed,suppressed
Alabama,2018,White,Not Hispanic or Latino,01,2018,2106-3,2186-5,33776,observed,18,observed
Alabama,2018,White,Unknown or Not Stated,01,2018,2106-3,9,18,observed,0,zero
Alabama,2019,American Indian or Alaska Native,Hispanic or Latino,01,2019,1002-5,2135-2,38,observed,0,zero
Alabama,2019,American Indian or Alaska Native,Not Hispanic or Latino,01,2019,1002-5,2186-5,151,observed,0,zero
Alabama,2019,Asian,Hispanic or Latino,01,2019,A,2135-2,43,observed,0,zero
Alabama,2019,Asian,Not Hispanic or Latino,01,2019,A,2186-5,886,observed,0,zero
Alabama,2019,Asian,Unknown or Not Stated,01,2019,A,9,Suppressed,suppressed,0,zero
Alabama,2019,Black or African American,Hispanic or Latino,01,2019,2054-5,2135-2,198,observed,0,zero
Alabama,2019,Black or African American,Not Hispanic or Latino,01,2019,2054-5,2186-5,18197,observed,Suppressed,suppressed
Alabama,2019,Black or African American,Unknown or Not Stated,01,2019,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2019,More than one race,Hispanic or Latino,01,2019,M,2135-2,65,observed,0,zero
Alabama,2019,More than one race,Not Hispanic or Latino,01,2019,M,2186-5,1022,observed,0,zero
Alabama,2019,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2019,NHOPI,2135-2,39,observed,0,zero
Alabama,2019,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2019,NHOPI,2186-5,37,observed,0,zero
Alabama,2019,White,Hispanic or Latino,01,2019,2106-3,2135-2,4527,observed,Suppressed,suppressed
Alabama,2019,White,Not Hispanic or Latino,01,2019,2106-3,2186-5,33394,observed,23,observed
Alabama,2019,White,Unknown or Not Stated,01,2019,2106-3,9,11,observed,0,zero
Alabama,2020,American Indian or Alaska Native,Hispanic or Latino,01,2020,1002-5,2135-2,52,observed,0,zero
Alabama,2020,American Indian or Alaska Native,Not Hispanic or Latino,01,2020,1002-5,2186-5,133,observed,0,zero
Alabama,2020,Asian,Hispanic or Latino,01,2020,A,2135-2,63,observed,0,zero
Alabama,2020,Asian,Not Hispanic or Latino,01,2020,A,2186-5,836,observed,0,zero
Alabama,2020,Black or African American,Hispanic or Latino,01,2020,2054-5,2135-2,269,observed,0,zero
Alabama,2020,Black or African American,Not Hispanic or Latino,01,2020,2054-5,2186-5,17746,observed,Suppressed,suppressed
Alabama,2020,Black or African American,Unknown or Not Stated,01,2020,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2020,More than one race,Hispanic or Latino,01,2020,M,2135-2,55,observed,0,zero
Alabama,2020,More than one race,Not Hispanic or Latino,01,2020,M,2186-5,977,observed,0,zero
Alabama,2020,More than one race,Unknown or Not Stated,01,2020,M,9,Suppressed,suppressed,0,zero
Alabama,2020,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2020,NHOPI,2135-2,53,observed,0,zero
Alabama,2020,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2020,NHOPI,2186-5,40,observed,0,zero
Alabama,2020,White,Hispanic or Latino,01,2020,2106-3,2135-2,4741,observed,Suppressed,suppressed
Alabama,2020,White,Not Hispanic or Latino,01,2020,2106-3,2186-5,32672,observed,17,observed
Alabama,2020,White,Unknown or Not Stated,01,2020,2106-3,9,Suppressed,suppressed,0,zero
Alabama,2021,American Indian or Alaska Native,Hispanic or Latino,01,2021,1002-5,2135-2,59,observed,0,zero
Alabama,2021,American Indian or Alaska Native,Not Hispanic or Latino,01,2021,1002-5,2186-5,155,observed,0,zero
Alabama,2021,Asian,Hispanic or Latino,01,2021,A,2135-2,40,observed,0,zero
Alabama,2021,Asian,Not Hispanic or Latino,01,2021,A,2186-5,852,observed,0,zero
Alabama,2021,Black or African American,Hispanic or Latino,01,2021,2054-5,2135-2,281,observed,0,zero
Alabama,2021,Black or African American,Not Hispanic or Latino,01,2021,2054-5,2186-5,16511,observed,Suppressed,suppressed
Alabama,2021,Black or African American,Unknown or Not Stated,01,2021,2054-5,9,Suppressed,suppressed,0,zero
Alabama,2021,More than one race,Hispanic or Latino,01,2021,M,2135-2,73,observed,0,zero
Alabama,2021,More than one race,Not Hispanic or Latino,01,2021,M,2186-5,1054,observed,Suppressed,suppressed
Alabama,2021,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,01,2021,NHOPI,2135-2,43,observed,0,zero
Alabama,2021,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,01,2021,NHOPI,2186-5,51,observed,0,zero
Alabama,2021,White,Hispanic or Latino,01,2021,2106-3,2135-2,5152,observed,Suppressed,suppressed
Alabama,2021,White,Not Hispanic or Latino,01,2021,2106-3,2186-5,33775,observed,15,observed
Alabama,2021,White,Unknown or Not Stated,01,2021,2106-3,9,Suppressed,suppressed,0,zero
