year,births,recorded,p_ds_lb_wt,est_ds_livebirths,reduction
1989,4045693,1954.0,0.001038,4199.429334,0.227013083
1990,4162917,1983.0,0.001055,4391.877434999999,0.231294901
1991,4115342,1791.0,0.001077,4432.223334,0.23487729
1992,4069428,1816.0,0.001083,4407.190524,0.251233203
1993,4004523,1763.0,0.001093,4376.943639,0.265086569
1994,3956925,1706.0,0.001102,4360.531349999999,0.28059455
1995,3903012,1640.0,0.001121,4375.276452,0.287298223
1996,3894874,1677.0,0.001099,4280.466526,0.318080357
1997,3884329,1663.0,0.001124,4365.985796,0.317264048
1998,3945192,1682.0,0.001136,4481.738112,0.320588682
1999,3963465,1758.0,0.001153,4569.875145,0.317740248
2000,4063823,1863.0,0.001149,4669.332627000001,0.331326165
2001,4031531,1803.0,0.001179,4753.1750489999995,0.324366638
2002,4027376,1850.0,0.001216,4897.289216,0.312622997
2003,4096092,1881.0,0.001219,4993.1361480000005,0.32089349
2004,4118907,1948.0,0.001218,5016.828726,0.32566586
2005,4145614,2007.0,0.001236,5123.978904,0.316176471
2006,4273225,2095.0,0.001244,5315.8919000000005,0.306495883
2007,4324008,2047.0,0.001261,5452.574088,0.296133454
2008,4255156,2014.0,0.001257,5348.731092,0.304919313
2009,4137836,1997.0,0.001262,5221.949032,0.309403974
2010,4007105,1927.0,0.001244,4984.83862,0.329785801
2011,3961220,1879.0,0.00127,5030.749400000001,0.323588845
2012,3960796,1928.0,0.001265,5010.40694,0.332532372
2013,3940764,1992.0,0.001283,5056.000212,0.331611023
2014,3998175,1982.0,0.001302,5205.62385,0.330064516
2015,3988733,2060.0,0.001265051,5045.950670382999,0.359913519
2016,3956112,2168.0,0.001295784,5126.266631808,0.35709795
2017,3864754,2044.0,0.0013375,5169.108475,0.351060991
2018,3801507,2108.0,0.001324215,5034.0125920049995,0.372399148
2019,3757555,2030.0,0.001324215,4975.8106943249995,0.372369506
2020,3619826,1954.0,0.001324215,4793.42788659,0.378334462
2021,3669928,1903.0,0.001324215,4859.77370652,0.384299418
2022,3676029,1861.0,0.001324215,4867.852742235,0.390264374
2023,3605081,1855.0,0.001324215,4773.902336415,0.396229331
2024,3638436,1886.0,0.001324215,4818.0715277399995,0.402194287
