year,race_idx,race,source,N,R,exp_prev,surv_ratio_used,prev_used,prev_sigma,true,s,s_logit,s_logit_sigma
2016,0,NH White,observed,2091557,1220.0,20.008158190170345,0.6317637745492246,12.64042954,0.8848300678000001,2643.817888739378,0.46145387138662525,-0.15449105894514042,0.14043089345626777
2017,0,NH White,interpolated,2028936,1117.0,20.402015249874346,0.618979852816373,12.62843639652462,1.5154123675829543,2562.2289228619074,0.4359485563656645,-0.2576212130554427,0.2192601202398143
2018,0,NH White,observed,1993215,1142.0,20.863808418168716,0.6061959310835215,12.64755577,0.8853289039000001,2520.9297874100553,0.45300746006625764,-0.1885265706973876,0.13893743725097518
2019,0,NH White,extrapolated,1952703,1145.0,21.26750015343071,0.6061959310835215,12.892272057327867,1.7404567277392622,2517.47783231603,0.4548202908887673,-0.18121310594690065,0.2534885703002258
2020,0,NH White,extrapolated,1842085,1045.0,21.674859516061773,0.6061959310835215,13.139211645443593,2.233665979725411,2420.354468389696,0.4317549407113317,-0.2746946076707957,0.304079374557219
2021,0,NH White,extrapolated,1885330,984.0,22.160577966968777,0.6061959310835215,13.433652194035611,2.7538986997773005,2532.686749098116,0.3885202148865825,-0.453536695088192,0.3392816603529982
2022,0,NH White,extrapolated,1838644,955.0,22.61060490208111,0.6061959310835215,13.706456690978696,3.289549605834887,2520.1294356127833,0.3789487898933201,-0.4940124655353748,0.3899383361114872
2023,0,NH White,extrapolated,1784714,940.0,22.912353279081433,0.6061959310835215,13.889375329327347,3.819578215565021,2478.8562601505128,0.3792071428711742,-0.49291485600015267,0.4460867710023343
2024,0,NH White,extrapolated,1779593,963.0,23.302229196362664,0.6061959310835215,14.125716524010684,4.3789721224433125,2513.8026246113745,0.38308496879259823,-0.47647448642136825,0.5052079420077839
2016,1,NH Black,observed,583220,255.0,17.84588649994439,0.6962125647296209,12.424530410000001,0.8697171287000002,724.6234625720201,0.35190690499433785,-0.6106676849949637,0.14492239885773206
