year,A,A,A,B,B,B,C,C,C
,true_ds,recorded,reduction,true_ds,recorded,reduction,true_ds,recorded,reduction
2016,4911.831011580296,2166.0,0.3780636195879068,5814.3746098181655,2166.0,0.2637600212803257,4853.355775043656,2166.0,0.3854522873069053
2017,4656.31920219541,2037.0,0.4093341459102735,5562.740958378392,2037.0,0.2943305945916824,4591.057186171527,2037.0,0.4175980215690843
2018,4739.502684183244,2106.0,0.402161580546859,5631.018915910543,2106.0,0.2896851210530734,4686.770618894727,2106.0,0.4087980490144746
2019,4584.815409417814,2023.0,0.424055438947201,5460.122330939657,2023.0,0.31407966430793155,4526.951597837553,2023.0,0.4313096633583875
2020,4424.7698696428115,1952.0,0.4325335429950895,5223.669367526115,1952.0,0.3300578753066713,4349.457917708019,1952.0,0.44217768810284097
2021,4269.725000798511,1900.0,0.4702568925924975,5128.109066029656,1900.0,0.3637401780954841,4203.398456913979,1900.0,0.47847238207772136
2022,4231.031202929607,1856.0,0.4885868001794136,5015.246059332713,1856.0,0.3937818264865276,4139.435154808942,1856.0,0.4996450975550223
2023,4193.990595416089,1852.0,0.49056345803165247,4933.059895369743,1852.0,0.40077552963965546,4100.9323443323,1852.0,0.501853993307773
2024,4308.432911781019,1884.0,0.48835690853879654,5063.497867807226,1884.0,0.3986759713435274,4211.2885836723735,1884.0,0.49987997253179217
