state,state_code,births,births_status,ds_cp,ds_cp_status,ds_confirmed,ds_confirmed_status,prev10k,ratio_to_national,percentile,confirmed_share
Hawaii,15,146010,observed,21,observed,,suppressed,1.4382576535853708,0.2707201687511267,2.0,
Mississippi,28,322157,observed,69,observed,27.0,observed,2.141812842806458,0.4031488605622619,4.0,0.391304347826087
Florida,12,1986359,observed,510,observed,285.0,observed,2.5675117136429013,0.483277250536559,6.0,0.5588235294117647
Tennessee,47,732549,observed,260,observed,101.0,observed,3.549250630333261,0.6680678716978089,8.0,0.38846153846153847
Texas,48,3446618,observed,1242,observed,500.0,observed,3.603532506358407,0.6782852333791616,10.0,0.4025764895330113
California,6,3924038,observed,1429,observed,736.0,observed,3.6416568850760367,0.6854613038240083,12.0,0.5150454863540938
Virginia,51,873030,observed,341,observed,174.0,observed,3.9059367948409562,0.7352061472397466,14.000000000000002,0.5102639296187683
New Mexico,35,201645,observed,81,observed,44.0,observed,4.016960499888418,0.7561039023053275,16.0,0.5432098765432098
District of Columbia,11,78830,observed,32,observed,27.0,observed,4.059368260814411,0.7640862246420956,18.0,0.84375
Michigan,26,952683,observed,389,observed,180.0,observed,4.083205011530593,0.7685729653594329,20.0,0.46272493573264784
Arkansas,5,326722,observed,138,observed,38.0,observed,4.2237743402648125,0.7950320301183061,22.0,0.2753623188405797
Georgia,13,1136061,observed,505,observed,218.0,observed,4.445183841360631,0.8367074679999269,24.0,0.4316831683168317
North Carolina,37,1080279,observed,492,observed,191.0,observed,4.554379007645247,0.8572610411164588,26.0,0.3882113821138211
Maryland,24,623047,observed,284,observed,93.0,observed,4.55824359960003,0.8579884650126884,28.000000000000004,0.3274647887323944
Missouri,29,635979,observed,294,observed,90.0,observed,4.622794148863406,0.8701386771433147,30.0,0.30612244897959184
Alabama,1,524110,observed,248,observed,111.0,observed,4.731831104157524,0.8906624705427431,32.0,0.4475806451612903
Nevada,32,307477,observed,146,observed,88.0,observed,4.748322638766477,0.8937666369076299,34.0,0.6027397260273972
Connecticut,9,313839,observed,154,observed,63.0,observed,4.906974595254255,0.9236293560984499,36.0,0.4090909090909091
New York,36,1948752,observed,960,observed,511.0,observed,4.926229710091381,0.927253705271934,38.0,0.5322916666666667
Louisiana,22,522228,observed,281,observed,161.0,observed,5.3807915316681605,1.0128149068677097,40.0,0.5729537366548043
Oklahoma,40,441985,observed,241,observed,78.0,observed,5.452673733271491,1.0263451402718187,42.0,0.3236514522821577
Washington,53,763427,observed,452,observed,208.0,observed,5.92067086964438,1.1144352424993833,44.0,0.46017699115044247
Kentucky,21,478286,observed,287,observed,135.0,observed,6.000593786981011,1.1294789626662933,46.0,0.47038327526132406
Pennsylvania,42,1194874,observed,732,observed,301.0,observed,6.126168951705368,1.1531157079326104,48.0,0.41120218579234974
South Carolina,45,515284,observed,316,observed,155.0,observed,6.132540501936796,1.1543150112351575,50.0,0.49050632911392406
Massachusetts,25,619671,observed,385,observed,267.0,observed,6.212974304106534,1.169454894163925,52.0,0.6935064935064935
Arizona,4,716707,observed,453,observed,186.0,observed,6.320574516503955,1.1897082525140585,54.0,0.4105960264900662
Kansas,20,317759,observed,205,observed,57.0,observed,6.4514301719227465,1.2143389332747028,56.00000000000001,0.2780487804878049
Indiana,18,725234,observed,482,observed,145.0,observed,6.6461307660699855,1.250987010600826,57.99999999999999,0.3008298755186722
Rhode Island,44,92765,observed,62,observed,32.0,observed,6.683555220180025,1.258031335730494,60.0,0.5161290322580645
Maine,23,107959,observed,74,observed,28.0,observed,6.854454005687344,1.2901992494117251,62.0,0.3783783783783784
